代碼: 700360, 名稱: 鑫聯統一5A購02, 市場: 上櫃
代碼: 700361, 名稱: 中光電元大57購04, 市場: 上櫃
代碼: 700362, 名稱: 中美晶元大54購05, 市場: 上櫃
代碼: 700363, 名稱: 弘塑元大54購06, 市場: 上櫃
代碼: 700364, 名稱: 弘塑元大56購04, 市場: 上櫃
代碼: 700365, 名稱: 良維元大54購09, 市場: 上櫃
代碼: 700366, 名稱: 宜鼎元大57購02, 市場: 上櫃
代碼: 700367, 名稱: 昇達科元大57購04, 市場: 上櫃
代碼: 700368, 名稱: 欣銓元大54購04, 市場: 上櫃
代碼: 700369, 名稱: 茂達元大54購02, 市場: 上櫃
代碼: 700370, 名稱: 原相元大54購05, 市場: 上櫃
代碼: 700371, 名稱: 凱崴元大54購01, 市場: 上櫃
代碼: 700372, 名稱: 鈊象元大54購10, 市場: 上櫃
代碼: 700373, 名稱: 金山電永豐54購01, 市場: 上櫃
代碼: 700374, 名稱: 昱展永豐54購01, 市場: 上櫃
代碼: 700375, 名稱: 茂達永豐54購01, 市場: 上櫃
代碼: 700376, 名稱: 信立群益54購01, 市場: 上櫃
代碼: 700377, 名稱: 威剛群益56購02, 市場: 上櫃
代碼: 700378, 名稱: 茂達群益54購01, 市場: 上櫃
代碼: 700379, 名稱: 茂達群益54購02, 市場: 上櫃
代碼: 700380, 名稱: 茂達群益55購01, 市場: 上櫃
代碼: 700381, 名稱: 昶瑞群益55購01, 市場: 上櫃
代碼: 700382, 名稱: 家登群益55購02, 市場: 上櫃
代碼: 700383, 名稱: 光焱中信57購01, 市場: 上櫃
代碼: 700384, 名稱: 良維中信55購01, 市場: 上櫃
代碼: 700385, 名稱: 中光電元富5A購01, 市場: 上櫃
代碼: 700386, 名稱: 良維元富54購02, 市場: 上櫃
代碼: 700387, 名稱: 良維元富54購03, 市場: 上櫃
代碼: 700388, 名稱: 良維元富54購04, 市場: 上櫃
代碼: 700389, 名稱: 威剛元富54購03, 市場: 上櫃
